<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20031001 to 20031031</B><hr><pre>Selected parameters:
 1 Scalar B, nT
 2 SW Proton Density, N/cm^3
 3 SW Plasma Temperature, K
 4 SW Plasma Speed, km/s
 5 Kp index

YEAR DOY HR    1     2        3     4   5
2003 274  0   6.4 999.9 9999999.  289. 30
2003 274  1   6.2 999.9 9999999.  284. 30
2003 274  2   6.1 999.9 9999999.  281. 30
2003 274  3   5.8 999.9 9999999.  278. 20
2003 274  4   5.6 999.9 9999999.  281. 20
2003 274  5   5.5 999.9 9999999.  282. 20
2003 274  6   5.5 999.9 9999999.  282. 13
2003 274  7   5.0 999.9 9999999.  281. 13
2003 274  8   5.2 999.9 9999999.  279. 13
2003 274  9   4.7 999.9 9999999.  285. 10
2003 274 10   5.6 999.9 9999999.  279. 10
2003 274 11   6.8 999.9 9999999.  269. 10
2003 274 12   7.0 999.9 9999999.  269. 10
2003 274 13   7.2 999.9 9999999.  273. 10
2003 274 14   7.0 999.9 9999999.  277. 10
2003 274 15   6.8 999.9 9999999.  276. 10
2003 274 16   5.7 999.9 9999999.  271. 10
2003 274 17   5.4 999.9 9999999.  280. 10
2003 274 18   6.3 999.9 9999999.  289. 30
2003 274 19   8.3 999.9 9999999.  292. 30
2003 274 20  11.6 999.9 9999999.  289. 30
2003 274 21  13.0 999.9 9999999.  290. 40
2003 274 22  16.4 999.9 9999999.  283. 40
2003 274 23  18.2 999.9 9999999.  296. 40
2003 275  0  18.1 999.9 9999999.  304. 27
2003 275  1  18.0 999.9 9999999.  309. 27
2003 275  2  17.9 999.9 9999999.  307. 27
2003 275  3  17.3 999.9 9999999.  323. 23
2003 275  4  18.2 999.9 9999999.  336. 23
2003 275  5  18.3 999.9 9999999.  328. 23
2003 275  6  18.1 999.9 9999999.  307. 13
2003 275  7  18.2 999.9 9999999.  309. 13
2003 275  8  17.1   2.7   96630.  350. 13
2003 275  9  17.7   1.6   59639.  358.  7
2003 275 10  17.5   1.6   68910.  349.  7
2003 275 11  17.4   1.4   60143.  344.  7
2003 275 12  16.6   2.2  138329.  359. 13
2003 275 13  16.7   1.5  196714.  379. 13
2003 275 14  16.5   3.3  114857.  388. 13
2003 275 15  16.3   3.5   95210.  387. 17
2003 275 16  16.5   1.6  190897.  379. 17
2003 275 17  15.7   3.0  122622.  374. 17
2003 275 18  14.3   4.7  143858.  382. 23
2003 275 19  16.9   2.4   92426.  376. 23
2003 275 20  16.8   2.5   99293.  376. 23
2003 275 21  15.3   3.7  162508.  396. 27
2003 275 22  14.8   4.1  204736.  419. 27
2003 275 23  14.4   4.3  221712.  432. 27
2003 276  0  14.0   4.3  267910.  461. 33
2003 276  1  13.9   4.5  234147.  478. 33
2003 276  2  13.6   3.6  253232.  474. 33
2003 276  3  12.0   4.4  243750.  459. 47
2003 276  4  11.7   4.3  210867.  465. 47
2003 276  5  11.2   5.0  219305.  478. 47
2003 276  6  10.8   4.8  203172.  473. 30
2003 276  7  10.3   4.7  191796.  468. 30
2003 276  8  10.2   3.8  202432.  476. 30
2003 276  9  11.5   3.3  174023.  466. 17
2003 276 10  11.2   3.4  202056.  478. 17
2003 276 11  10.9   4.3  204430.  477. 17
2003 276 12  10.0   5.0  202731.  472. 30
2003 276 13   8.8   4.9  210268.  495. 30
2003 276 14   8.4   4.9  171872.  482. 30
2003 276 15   8.4   4.7  149907.  487. 37
2003 276 16   8.1   4.7  138718.  485. 37
2003 276 17   7.7   4.5  139687.  476. 37
2003 276 18   7.2   4.4  146218.  482. 30
2003 276 19   6.9   4.9  156245.  476. 30
2003 276 20   6.9   4.8  153502.  472. 30
2003 276 21   6.9   4.7  142851.  476. 20
2003 276 22   6.6   4.9  137310.  474. 20
2003 276 23   6.2   5.1  145117.  464. 20
2003 277  0   6.0   5.0  149920.  486. 13
2003 277  1   5.9   4.5  144720.  480. 13
2003 277  2   5.8   4.2  143309.  480. 13
2003 277  3   5.9   4.1  142449.  479. 17
2003 277  4   6.3   3.7  143357.  475. 17
2003 277  5   6.0   3.4  130239.  468. 17
2003 277  6   5.1   3.4  130335.  472. 30
2003 277  7   4.9   3.4  155074.  475. 30
2003 277  8   4.7   3.4  156764.  471. 30
2003 277  9   4.9   3.4  147498.  474. 13
2003 277 10   4.6   3.1  141802.  464. 13
2003 277 11   4.3   3.3  121347.  475. 13
2003 277 12   4.2   3.3  109866.  476. 23
2003 277 13   4.6   3.3   80982.  476. 23
2003 277 14   4.0   3.1   88517.  477. 23
2003 277 15   4.0   3.0   85716.  467.  3
2003 277 16   3.0   2.9  106600.  470.  3
2003 277 17   2.5   2.9  117810.  468.  3
2003 277 18   3.7   3.0   78498.  447.  0
2003 277 19   4.3   3.2   74382.  431.  0
2003 277 20   4.5   3.0   72888.  434.  0
2003 277 21   4.6   2.8   84915.  418.  0
2003 277 22   4.7   3.0   84419.  404.  0
2003 277 23   4.8   2.9   74035.  407.  0
2003 278  0   4.8   3.2   83397.  403.  0
2003 278  1   4.8   3.3   96018.  402.  0
2003 278  2   4.8   2.8   80267.  406.  0
2003 278  3   4.6   2.9   87350.  402.  7
2003 278  4   4.5   3.0  107926.  403.  7
2003 278  5   4.1   4.0   87698.  393.  7
2003 278  6   4.1   4.3   64112.  391.  3
2003 278  7   3.7   5.0   40065.  387.  3
2003 278  8   4.1   5.9   30307.  384.  3
2003 278  9   4.2   5.3   34875.  382.  0
2003 278 10   4.8   5.0   31918.  380.  0
2003 278 11   4.9   5.2   30924.  380.  0
2003 278 12   5.2   5.8   28998.  373.  3
2003 278 13   5.9   5.6   33728.  375.  3
2003 278 14   6.2   6.1   24725.  379.  3
2003 278 15   6.6   6.7   18582.  378. 17
2003 278 16   8.1   6.7   19681.  371. 17
2003 278 17   8.0 999.9 9999999.  364. 17
2003 278 18   9.8  11.7   29020.  388. 27
2003 278 19  11.3  14.6   51389.  410. 27
2003 278 20  11.3  20.4   49358.  398. 27
2003 278 21  11.2  13.5  105559.  415. 33
2003 278 22  11.7  12.6  146743.  431. 33
2003 278 23  12.5   9.7  158072.  456. 33
2003 279  0  11.5   9.4  174507.  454. 23
2003 279  1  10.1   7.8  177406.  453. 23
2003 279  2   9.3   8.5  135041.  435. 23
2003 279  3   9.1   8.8  120372.  420. 10
2003 279  4   8.1  10.1  128946.  427. 10
2003 279  5   8.7  10.1  101940.  417. 10
2003 279  6   9.3  10.8   87524.  416. 10
2003 279  7   8.8  10.8   79334.  416. 10
2003 279  8   9.2  10.5   64939.  406. 10
2003 279  9   7.4  12.9   73217.  391. 13
2003 279 10   8.2  13.1   77557.  386. 13
2003 279 11  10.2  11.1   81493.  401. 13
2003 279 12  10.7   9.3  118342.  440. 20
2003 279 13  10.9   7.5  212699.  482. 20
2003 279 14  10.3   6.2  254686.  537. 20
2003 279 15  10.9   5.6  193820.  530. 20
2003 279 16  11.3   5.7  196535.  524. 20
2003 279 17  10.9   5.7  211509.  537. 20
2003 279 18  11.0   5.4  210294.  552. 33
2003 279 19  12.6   5.5  319594.  584. 33
2003 279 20  12.3   5.6  375002.  587. 33
2003 279 21  11.0   4.7  334443.  585. 33
2003 279 22   9.5   4.7  354436.  621. 33
2003 279 23   9.1   4.9  322734.  614. 33
2003 280  0   9.5   5.0  279115.  597. 43
2003 280  1   8.7   5.0  203800.  586. 43
2003 280  2   7.5   4.2  155527.  588. 43
2003 280  3   7.6   4.2  169300.  573. 20
2003 280  4   6.8   5.5  182716.  590. 20
2003 280  5   6.3   5.8  194859.  563. 20
2003 280  6   6.0   5.5  208603.  547. 27
2003 280  7   5.5   4.9  206765.  544. 27
2003 280  8   5.2   4.6  170288.  548. 27
2003 280  9   5.2   4.5  170819.  541. 33
2003 280 10   5.1   4.6  163018.  542. 33
2003 280 11   5.2   4.3  142498.  537. 33
2003 280 12   5.2   4.4  152459.  532. 27
2003 280 13   5.0   4.1  149263.  532. 27
2003 280 14   4.8   4.2  144161.  539. 27
2003 280 15   5.3   4.3  127403.  539. 33
2003 280 16   5.4   3.5  137469.  546. 33
2003 280 17   5.4   3.6  176707.  522. 33
2003 280 18   5.5   3.5  179311.  521. 27
2003 280 19   5.2   3.5  212419.  528. 27
2003 280 20   5.3   3.5  186116.  526. 27
2003 280 21   5.3   3.7  202087.  525. 23
2003 280 22   5.5   3.6  191790.  533. 23
2003 280 23   5.6   3.8  181163.  526. 23
2003 281  0   5.6   3.9  159747.  532. 17
2003 281  1   5.7   4.0  158937.  533. 17
2003 281  2   5.5   4.0  167352.  533. 17
2003 281  3   6.1   4.1  129438.  499. 13
2003 281  4   6.2   4.0  133724.  505. 13
2003 281  5   6.1   4.1  134591.  502. 13
2003 281  6   7.1   3.7  126311.  516. 20
2003 281  7   6.6   4.2  192101.  512. 20
2003 281  8   6.6   3.7  190876.  527. 20
2003 281  9   7.6   2.1  235854.  564. 17
2003 281 10   7.0   2.0  261541.  569. 17
2003 281 11   6.8   2.1  279800.  584. 17
2003 281 12   7.1   2.0  269715.  597. 17
2003 281 13   6.8   1.8  273359.  607. 17
2003 281 14   6.7   1.8  299189.  621. 17
2003 281 15   7.0   1.8  256809.  604.  7
2003 281 16   6.8   1.8  240382.  597.  7
2003 281 17   6.6   1.9  235281.  615.  7
2003 281 18   6.2   2.0  191537.  592. 20
2003 281 19   6.1   2.0  185689.  590. 20
2003 281 20   5.9   1.9  159074.  582. 20
2003 281 21   5.7   1.8  191685.  582. 27
2003 281 22   5.8   1.7  184264.  583. 27
2003 281 23   5.7   1.7  178963.  572. 27
2003 282  0   5.4   1.6  219980.  585. 40
2003 282  1   5.4   1.8  228138.  591. 40
2003 282  2   5.4   1.8  249855.  598. 40
2003 282  3   5.6   1.7  232536.  618. 23
2003 282  4   5.4   1.8  239449.  584. 23
2003 282  5   5.3   1.8  236725.  602. 23
2003 282  6   5.4   1.8  242784.  599. 10
2003 282  7   5.4   1.9  237038.  585. 10
2003 282  8   5.4   1.9  241593.  589. 10
2003 282  9   4.8   1.8  255209.  584. 13
2003 282 10   5.2   1.4  225207.  572. 13
2003 282 11   5.0   1.3  230844.  584. 13
2003 282 12   5.4   1.2  215658.  560. 13
2003 282 13   5.7   1.1  189319.  564. 13
2003 282 14   5.8   1.1  178245.  560. 13
2003 282 15   5.8   1.1  158324.  568. 10
2003 282 16   5.2   1.2  270846.  526. 10
2003 282 17   5.2   1.5  201960.  531. 10
2003 282 18   5.3   1.1  201324.  496.  7
2003 282 19   5.4   1.1  226180.  553.  7
2003 282 20   5.1   1.3  253491.  504.  7
2003 282 21   5.3   1.9  140074.  502.  3
2003 282 22   5.7   1.9  133358.  496.  3
2003 282 23   5.7   1.9  118657.  483.  3
2003 283  0   5.8   1.7  105228.  473.  0
2003 283  1   5.5   1.6  100916.  473.  0
2003 283  2   5.4   1.6   96958.  472.  0
2003 283  3   5.2   1.4  106331.  476.  0
2003 283  4   5.2   1.4   79421.  464.  0
2003 283  5   5.2   1.5   70411.  466.  0
2003 283  6   5.5   1.4   59296.  461.  7
2003 283  7   5.3   1.3   92020.  456.  7
2003 283  8   5.2   1.3   94565.  458.  7
2003 283  9   5.2   1.4   49960.  464.  3
2003 283 10   5.2   1.3   59392.  445.  3
2003 283 11   5.2   1.3   58347.  434.  3
2003 283 12   5.4   1.4   40709.  457.  7
2003 283 13   5.4   1.4   43878.  448.  7
2003 283 14   5.6   1.3   61247.  428.  7
2003 283 15   5.6   1.5   64094.  426.  7
2003 283 16   5.6   1.5   55079.  444.  7
2003 283 17   5.6   1.5   88914.  431.  7
2003 283 18   5.6   1.6   75554.  432.  7
2003 283 19   5.7   1.8   47968.  453.  7
2003 283 20   5.5   1.7   55199.  470.  7
2003 283 21   5.7   1.5   51606.  455. 17
2003 283 22   5.6   1.1   60364.  450. 17
2003 283 23   5.4   1.2   80696.  437. 17
2003 284  0   5.6   1.1   92773.  425. 10
2003 284  1   5.3   1.2  130490.  407. 10
2003 284  2   5.2   1.3  121903.  389. 10
2003 284  3   5.5   1.2   94767.  417.  0
2003 284  4   5.5   1.1  102673.  416.  0
2003 284  5   5.4   1.1  113807.  418.  0
2003 284  6   5.4   1.2  151567.  408.  7
2003 284  7   5.5   1.2  154959.  400.  7
2003 284  8   5.4   1.3  134964.  401.  7
2003 284  9   5.4   1.3  122236.  404.  3
2003 284 10   5.3   1.4  108904.  397.  3
2003 284 11   5.4   1.4   87983.  392.  3
2003 284 12   5.3   1.3   61574.  396.  3
2003 284 13   5.4   1.5   78229.  387.  3
2003 284 14   5.4   1.4   76412.  388.  3
2003 284 15   5.4   1.3   71532.  389.  0
2003 284 16   5.4   1.3   68975.  386.  0
2003 284 17   5.4   1.3   74964.  380.  0
2003 284 18   5.4   1.4   69192.  382.  3
2003 284 19   5.3   1.5   78105.  379.  3
2003 284 20   5.3   1.4   78156.  380.  3
2003 284 21   5.3   1.4   85499.  382.  7
2003 284 22   5.2   2.1   29745.  372.  7
2003 284 23   5.2   1.6   92621.  379.  7
2003 285  0   5.3   1.5   94533.  381.  3
2003 285  1   5.3   1.7  102074.  383.  3
2003 285  2   5.1   1.8   82026.  381.  3
2003 285  3   5.3   2.0   84992.  375.  3
2003 285  4   5.3   2.0  109582.  380.  3
2003 285  5   5.0   2.9   94179.  370.  3
2003 285  6   5.0   3.2  114067.  365.  3
2003 285  7   5.3   3.5  101435.  362.  3
2003 285  8   5.6   3.2  114784.  361.  3
2003 285  9   6.0   3.1  132583.  362. 10
2003 285 10   6.5   2.7  112018.  365. 10
2003 285 11   6.8   3.5   47851.  359. 10
2003 285 12   5.7   5.3   17997.  368. 10
2003 285 13   4.7   8.3   10110.  362. 10
2003 285 14   4.4   8.8   12448.  359. 10
2003 285 15   5.3   8.2   13933.  348. 10
2003 285 16   3.9 999.9 9999999.  321. 10
2003 285 17   4.8 999.9 9999999.  324. 10
2003 285 18   3.3 999.9 9999999.  304. 13
2003 285 19   2.3 999.9 9999999.  302. 13
2003 285 20   4.4 999.9 9999999.  303. 13
2003 285 21   3.9 999.9 9999999.  303. 17
2003 285 22   3.8 999.9 9999999.  306. 17
2003 285 23   4.7 999.9 9999999.  317. 17
2003 286  0   4.3 999.9 9999999.  319. 33
2003 286  1   5.8 999.9 9999999.  329. 33
2003 286  2   5.4 999.9 9999999.  335. 33
2003 286  3   4.5 999.9 9999999.  332. 30
2003 286  4   3.5 999.9 9999999.  326. 30
2003 286  5   3.4 999.9 9999999.  323. 30
2003 286  6   2.7 999.9 9999999.  318. 17
2003 286  7   3.3 999.9 9999999.  316. 17
2003 286  8   3.5 999.9 9999999.  330. 17
2003 286  9   6.6 999.9 9999999.  341. 13
2003 286 10   7.0 999.9 9999999.  327. 13
2003 286 11   5.9 999.9 9999999.  328. 13
2003 286 12   7.5 999.9 9999999.  341. 27
2003 286 13  10.8  13.9  105328.  368. 27
2003 286 14   9.7  13.4   86253.  372. 27
2003 286 15  11.4  11.0  110301.  384. 30
2003 286 16  12.1  11.7  126730.  398. 30
2003 286 17  11.5  13.2  116697.  384. 30
2003 286 18  12.1  12.7  103302.  377. 37
2003 286 19  10.0  12.6  153207.  406. 37
2003 286 20   9.5  11.8  125426.  428. 37
2003 286 21   9.4   8.9  249496.  480. 47
2003 286 22  10.7   7.9  232286.  482. 47
2003 286 23  11.0   6.5  230034.  468. 47
2003 287  0  10.3   6.5  252101.  469. 33
2003 287  1   9.8   7.5  253054.  451. 33
2003 287  2   8.9   8.2  249892.  462. 33
2003 287  3   8.7   6.6  231386.  454. 40
2003 287  4  10.2   5.4  233981.  490. 40
2003 287  5  11.1   5.0  212670.  493. 40
2003 287  6  10.4   5.4  257102.  495. 57
2003 287  7  10.3   6.3  209439.  460. 57
2003 287  8  10.8   6.4  155409.  440. 57
2003 287  9  10.6  10.1  106923.  455. 50
2003 287 10  11.0  11.1  100991.  464. 50
2003 287 11  10.6  11.7  112859.  466. 50
2003 287 12   9.5  13.0  125228.  465. 43
2003 287 13   9.2  13.9  155137.  475. 43
2003 287 14   8.5  14.5  191437.  481. 43
2003 287 15   9.1  17.4  213442.  485. 43
2003 287 16  11.4  17.4  152012.  487. 43
2003 287 17  12.7  17.3  194266.  510. 43
2003 287 18  16.1  17.4  230447.  528. 73
2003 287 19  19.7  10.7  407669.  607. 73
2003 287 20  17.9   8.5  460435.  613. 73
2003 287 21  15.1   8.7  464464.  613. 73
2003 287 22  13.2   7.3  437094.  619. 73
2003 287 23  10.7   4.1  370647.  651. 73
2003 288  0  11.2   4.1  338370.  658. 33
2003 288  1  10.1   4.1  372145.  658. 33
2003 288  2  10.3   4.3  401491.  659. 33
2003 288  3   9.0   4.1  346283.  666. 43
2003 288  4   8.3   3.9  315367.  678. 43
2003 288  5   8.8   3.1  324321.  695. 43
2003 288  6   7.9   3.6  392658.  724. 60
2003 288  7   7.5   3.0  387644.  706. 60
2003 288  8   7.2   2.8  389863.  721. 60
2003 288  9   7.7   2.8  313218.  682. 57
2003 288 10   8.0   2.7  251932.  671. 57
2003 288 11   7.7   3.0  198168.  637. 57
2003 288 12   7.7   2.9  183813.  644. 40
2003 288 13   7.1   3.0  210655.  658. 40
2003 288 14   7.0   2.8  175141.  654. 40
2003 288 15   6.9   2.8  175951.  659. 47
2003 288 16   6.8   2.8  160713.  652. 47
2003 288 17   7.1   2.8  128360.  641. 47
2003 288 18   6.6   2.9  191706.  649. 47
2003 288 19   6.7   3.0  201589.  642. 47
2003 288 20   6.5   3.0  231587.  654. 47
2003 288 21   6.5   3.5  233329.  638. 50
2003 288 22   6.2   3.4  247395.  622. 50
2003 288 23   6.2   3.4  225392.  610. 50
2003 289  0   6.8   3.9  182296.  604. 50
2003 289  1   6.4   4.2  208411.  608. 50
2003 289  2   5.7   3.9  220562.  595. 50
2003 289  3   5.7   4.1  214534.  585. 33
2003 289  4   5.9   4.0  192902.  584. 33
2003 289  5   6.0   3.4  174806.  579. 33
2003 289  6   5.5   3.3  203797.  583. 33
2003 289  7   5.2   3.3  196171.  605. 33
2003 289  8   5.4   3.5  161890.  611. 33
2003 289  9   5.7   3.4  130152.  580. 47
2003 289 10   6.0   3.0  135711.  588. 47
2003 289 11   5.8   3.1  163005.  596. 47
2003 289 12   5.6   3.3  167073.  589. 40
2003 289 13   5.9   3.4  147446.  598. 40
2003 289 14   5.8   3.4  160756.  593. 40
2003 289 15   6.0   3.4  158914.  590. 43
2003 289 16   5.5   3.5  166080.  602. 43
2003 289 17   5.1   3.5  190630.  582. 43
2003 289 18   5.3   3.6  170589.  582. 33
2003 289 19   5.3   3.5  179309.  565. 33
2003 289 20   5.4   3.4  169550.  565. 33
2003 289 21   5.5   3.1  158138.  568. 43
2003 289 22   5.6   3.4  122332.  579. 43
2003 289 23   5.9   3.6  142045.  574. 43
2003 290  0   5.6   3.5  144073.  580. 47
2003 290  1   5.4   3.4  155194.  579. 47
2003 290  2   5.4   3.6  144878.  583. 47
2003 290  3   6.0   3.8  110837.  568. 53
2003 290  4   6.4   4.2  102757.  581. 53
2003 290  5   6.3   4.1  112519.  561. 53
2003 290  6   6.0   4.1  123060.  554. 57
2003 290  7   6.4   4.7  130363.  569. 57
2003 290  8   6.5   4.9  123360.  579. 57
2003 290  9   6.4   4.3  123561.  540. 43
2003 290 10   6.5   4.3  122458.  534. 43
2003 290 11   6.7   4.8  116346.  542. 43
2003 290 12   6.3   4.9  127962.  542. 37
2003 290 13   6.2   5.1  124084.  537. 37
2003 290 14   6.2   4.9  125565.  558. 37
2003 290 15   6.0   4.5  140231.  550. 23
2003 290 16   5.5   4.0  161721.  554. 23
