<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20150315 to 20150320</B><hr><pre>Selected parameters:
 1 Scalar B, nT
 2 SW Proton Density, N/cm^3
 3 SW Plasma Temperature, K
 4 SW Plasma Speed, km/s
 5 Kp index

YEAR DOY HR    1     2        3     4   5
2015  79  4   6.3   2.5  187243.  564. 30
2015  79  5   6.6   2.8  211121.  576. 30
2015  79  6   6.6   2.8  187851.  568. 47
2015  79  7   6.3   2.2  163611.  542. 47
2015  79  8   6.3   2.3  177250.  571. 47
2015  79  9   6.4   2.5  201326.  585. 30
2015  79 10   6.1   2.4  183265.  567. 30
2015  79 11   6.2   2.6  172901.  562. 30
2015  79 12   6.8   2.5  165000.  558. 27
2015  79 13   7.1   2.8  177317.  581. 27
2015  79 14   6.7   2.8  184642.  593. 27
2015  79 15   6.3   2.7  178239.  582. 23
2015  79 16   6.7   2.3  159777.  551. 23
2015  79 17   7.2   2.5  152437.  547. 23
2015  79 18   7.4   2.4  146491.  542. 33
2015  79 19   7.0   2.4  160547.  568. 33
2015  79 20   7.2   2.8  158990.  565. 33
2015  79 21   6.9   3.1  185622.  583. 43
2015  79 22   6.3   4.0  184373.  598. 43
2015  79 23   7.2   3.8  173872.  604. 43
</pre><hr><HR>
<ADDRESS>
<table>
<tr>
<td>
If you have any questions about OMNIWeb Plus Interface,contact:<br>
<A HREF="mailto:Natalia.E.Papitashvili@nasa.gov">
Dr. Natalia Papitashvili</A>, Code 672, Greenbelt, MD 20771.
</ADDRESS>
</td></tr>
</table>
<HR>
<H6>Last Update: August 03, 2026, NEP.</H6>
</BODY>
</HTML>
