<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20000701 to 20000731</B><hr><pre>Selected parameters:
 1 Scalar B, nT
 2 SW Proton Density, N/cm^3
 3 SW Plasma Temperature, K
 4 SW Plasma Speed, km/s
 5 Kp index

YEAR DOY HR    1     2        3     4   5
2000 183  0   6.7   5.4   38004.  369. 23
2000 183  1   6.9   6.0   41685.  372. 23
2000 183  2   6.8   8.4   48965.  391. 23
2000 183  3   6.6  10.8   34503.  403. 10
2000 183  4   6.8   9.0   40497.  409. 10
2000 183  5   6.6   8.4   50853.  413. 10
2000 183  6   6.9   8.2   72512.  420. 23
2000 183  7   7.2   8.1   61603.  418. 23
2000 183  8   7.6   9.6   41784.  399. 23
2000 183  9   8.0  11.6   35686.  408. 13
2000 183 10   7.6  11.6   33219.  395. 13
2000 183 11   8.6  11.6   26306.  395. 13
2000 183 12   8.1  11.6   26294.  395. 10
2000 183 13   8.3  11.8   24135.  400. 10
2000 183 14   8.5  11.8   24338.  395. 10
2000 183 15   9.4  10.7   25827.  410.  7
2000 183 16   8.9  12.2   25669.  410.  7
2000 183 17   8.2  12.2   25215.  411.  7
2000 183 18   8.4  10.7   20899.  411. 27
2000 183 19   8.1  12.6   18731.  416. 27
2000 183 20   7.2  10.8   12130.  417. 27
2000 183 21   8.0   4.3   10841.  434. 23
2000 183 22   8.2   3.1   10132.  437. 23
2000 183 23   8.3   4.1    6772.  435. 23
2000 184  0   8.0   5.5    7141.  421. 10
2000 184  1   7.5   6.4    7434.  412. 10
2000 184  2   6.3   9.1   16462.  396. 10
2000 184  3   5.9   8.6   22888.  384. 17
2000 184  4   5.6   8.1   20382.  381. 17
2000 184  5   4.1   8.5   23038.  387. 17
2000 184  6   4.8   5.9   23820.  388. 10
2000 184  7   6.3   2.1   13902.  388. 10
2000 184  8   6.1   2.2   14698.  383. 10
2000 184  9   5.5   3.2   33676.  386.  7
2000 184 10   5.3   3.3   38380.  384.  7
2000 184 11   5.4   3.0   49421.  375.  7
2000 184 12   5.5   3.5   57133.  379. 10
2000 184 13   5.1   4.9   72216.  369. 10
2000 184 14   5.5   4.4   72610.  373. 10
2000 184 15   5.8   4.1   65521.  378. 13
2000 184 16   5.2   6.1   45026.  375. 13
2000 184 17   4.7   9.9   16865.  367. 13
2000 184 18   5.3   9.2   11290.  361. 10
2000 184 19   4.9  10.0   12851.  360. 10
2000 184 20   4.5  12.0   15398.  360. 10
2000 184 21   5.1  13.4   16637.  358. 10
2000 184 22   4.5  15.2   20152.  351. 10
2000 184 23   4.4  14.5   23118.  348. 10
2000 185  0   4.5  13.5   23077.  345. 20
2000 185  1   4.2  13.2   21372.  344. 20
2000 185  2   4.6  11.6   21168.  342. 20
2000 185  3   4.7   9.4   21878.  336. 17
2000 185  4   4.5  10.1   17260.  333. 17
2000 185  5   4.2  12.0   14553.  327. 17
2000 185  6   4.5  10.5   16813.  329. 13
2000 185  7   4.3   8.7   20095.  324. 13
2000 185  8   4.6   9.8   18363.  325. 13
2000 185  9   5.1   7.3   25180.  327. 20
2000 185 10   6.9  12.0   27619.  344. 20
