<HTML>
<HEAD><TITLE>OMNIWeb Results</TITLE></HEAD>
<BODY>
<center><font size=5 color=red>OMNIWeb Plus Browser Results </font></center><br>
<B>Listing for omni2 data from 20170901 to 20170930</B><hr><pre>Selected parameters:
 1 Scalar B, nT
 2 SW Proton Density, N/cm^3
 3 SW Plasma Temperature, K
 4 SW Plasma Speed, km/s
 5 Kp index

YEAR DOY HR    1     2        3     4   5
2017 244  0   3.7   3.4  140894.  580. 33
2017 244  1   4.0   3.4  134956.  572. 33
2017 244  2   5.1   2.6  114473.  536. 33
2017 244  3   6.1   3.3  120634.  532. 33
2017 244  4   7.7   3.5  126085.  540. 33
2017 244  5   7.6   4.6  146086.  551. 33
2017 244  6   9.3   4.2  184403.  577. 20
2017 244  7   8.9   4.3  207845.  572. 20
2017 244  8   7.5   6.9  280180.  619. 20
2017 244  9   6.9   6.6  294756.  623. 40
2017 244 10   7.7   3.6  309675.  631. 40
2017 244 11   7.5   3.3  309998.  638. 40
2017 244 12   7.5   3.1  335643.  636. 37
2017 244 13   8.1   3.2  304642.  632. 37
2017 244 14   8.1   3.1  305015.  627. 37
2017 244 15   7.8   2.9  324280.  638. 20
2017 244 16   8.0   3.1  313888.  619. 20
2017 244 17   7.7   3.3  299636.  619. 20
2017 244 18   7.3   4.1  368729.  635. 20
2017 244 19   7.2   4.9  308564.  629. 20
2017 244 20   6.8   5.6  279142.  628. 20
2017 244 21   7.1   4.9  286286.  620. 37
2017 244 22   7.1   4.8  269489.  616. 37
2017 244 23   8.7   4.0  268369.  607. 37
2017 245  0   9.0   3.5  274561.  592. 37
2017 245  1   7.6   3.9  290392.  587. 37
2017 245  2   6.7   4.3  271671.  593. 37
2017 245  3   7.5   4.4  226187.  581. 47
2017 245  4   6.9   4.0  230803.  582. 47
2017 245  5   6.0   3.4  191343.  596. 47
2017 245  6   4.8   2.5  163396.  605. 47
2017 245  7   4.3   2.8  182585.  614. 47
2017 245  8   4.5   2.6  164902.  604. 47
2017 245  9   4.8   2.7  140247.  611. 30
2017 245 10   4.4   2.7  156559.  586. 30
2017 245 11   4.3   2.8  148457.  579. 30
2017 245 12   3.8   2.9  166178.  577. 17
2017 245 13   3.8   2.6  155065.  569. 17
2017 245 14   3.7   2.5  144283.  572. 17
2017 245 15   4.0   2.2  128898.  560. 27
2017 245 16   4.0   2.4  123611.  565. 27
2017 245 17   3.8   2.8  120892.  582. 27
2017 245 18   3.5   3.1  122248.  585. 27
2017 245 19   3.9   3.2  111006.  590. 27
2017 245 20   3.9   3.8  129420.  580. 27
2017 245 21   3.9   4.1  135917.  583. 30
2017 245 22   3.5   4.2  161892.  570. 30
2017 245 23   3.9   3.9  160433.  561. 30
2017 246  0   3.4   3.8  134367.  545. 23
2017 246  1   4.4   2.9  108249.  540. 23
2017 246  2   3.9   3.2  124559.  544. 23
2017 246  3   4.4   3.5  133308.  540. 23
2017 246  4   4.2   3.1  126101.  515. 23
2017 246  5   4.1   3.1  107362.  522. 23
2017 246  6   3.9   2.8   99897.  514.  7
2017 246  7   3.7   2.7  101337.  509.  7
2017 246  8   3.6   2.7  108642.  520.  7
2017 246  9   3.6   2.9  111258.  525. 17
2017 246 10   3.7   3.1  107018.  524. 17
2017 246 11   3.8   2.9  106691.  498. 17
2017 246 12   3.9   2.7  100548.  490. 27
2017 246 13   3.8   2.7   94591.  484. 27
2017 246 14   3.7   3.0   85644.  487. 27
2017 246 15   4.1   3.1   93013.  510. 20
2017 246 16   4.3   2.4   83970.  486. 20
2017 246 17   4.1   2.2   67468.  467. 20
2017 246 18   4.4   2.4   76880.  477.  7
2017 246 19   4.3   2.3   74479.  476.  7
2017 246 20   4.8   2.5   81479.  477.  7
2017 246 21   4.9   3.2   90265.  483. 20
2017 246 22   5.1   3.8  101372.  491. 20
2017 246 23   5.0   4.0   93175.  503. 20
2017 247  0   3.8   3.9  109026.  500. 37
2017 247  1   4.3   3.6  116267.  506. 37
2017 247  2   3.5   4.1  117016.  492. 37
2017 247  3   4.2   3.5   95053.  484. 33
2017 247  4   3.8   2.9   89692.  494. 33
2017 247  5   3.4   2.5   79291.  497. 33
2017 247  6   3.7   2.9   57680.  492. 17
2017 247  7   4.1   2.9   54075.  490. 17
2017 247  8   4.1   3.6   73303.  475. 17
2017 247  9   4.3   4.5   71261.  475. 20
2017 247 10   5.1   4.1   86922.  482. 20
2017 247 11   4.9   4.5  101170.  479. 20
2017 247 12   3.5   4.7   96625.  474. 17
2017 247 13   3.9   4.6   89059.  477. 17
